t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
0.33846	0.338645	0.338755	0.00820418981754903	0.000295000000000045	0.00100999999999996	1.72013756049909e-06	191	0	195
0.339765	0.339975	0.3401	0.00973006872379903	0.00033500000000003	0.00383499999999998	2.27154123718542e-06	192	0	196
0.343935	0.34417	0.34544	0.00915023473942403	0.00150500000000003	-0.00150500000000003	9.73955343113971e-06	193	0	197
0.343935	0.345305	0.34544	0.010584560911299	0.00150500000000003	0.00189999999999996	9.73955343113971e-06	193	0	198
0.34734	0.34756	0.34768	0.00927230505192403	0.000340000000000007	0.00142000000000003	2.27609368041379e-06	194	0	199
0.3491	0.349305	0.34942	0.00857040075504903	0.000319999999999987	0.000850000000000017	1.95392882937531e-06	195	0	200
0.35027	0.350475	0.35062	0.00982162145817403	0.000349999999999961	0.0015	2.40726887937054e-06	196	0	201
0.35212	0.352365	0.3525	0.00963851598942403	0.000379999999999991	0.00111500000000003	2.63859354850638e-06	197	0	202
0.353615	0.35384	0.35396	0.00979110388004903	0.000344999999999984	0.00138500000000003	2.38959387754842e-06	198	0	203
0.355345	0.355585	0.35571	0.00957748083317403	0.000365000000000004	0.000969999999999971	2.49905120905565e-06	199	0	204
0.35668	0.35687	0.35703	0.00963851598942403	0.000350000000000017	0.00137999999999999	2.39765584226116e-06	200	0	205
0.35841	0.35866	0.358795	0.010096279661299	0.000385000000000024	0.000939999999999996	2.74736352103162e-06	201	0	206
0.359735	0.359925	0.360075	0.00976058630192403	0.000340000000000007	0.00138499999999997	2.37512322142942e-06	202	0	207
0.36146	0.36169	0.361825	0.00973006872379903	0.000365000000000004	0.000780000000000003	2.51904022272752e-06	203	0	208
0.362605	0.362845	0.362945	0.00945541052067403	0.000340000000000007	0.00166499999999997	2.29974480346067e-06	204	0	209
0.36461	0.364845	0.364985	0.00936385778629903	0.000375000000000014	0.000680000000000014	2.55164364434051e-06	205	0	210
0.365665	0.365885	0.366015	0.00957748083317403	0.000350000000000017	0.00127499999999997	2.43931233640179e-06	206	0	211
0.36729	0.36752	0.367655	0.00982162145817403	0.000365000000000004	0.00203999999999999	2.48867523249315e-06	207	0	212
0.369695	0.370315	0.37049	0.011408535520674	0.00079499999999999	0.00249500000000002	6.18127177591423e-06	208	0	213
0.372985	0.373255	0.37338	0.010004726926924	0.000394999999999979	0.0005	2.77249013600399e-06	209	0	214
0.37388	0.374115	0.37424	0.00936385778629903	0.000360000000000027	0.001305	2.36540941035853e-06	210	0	215
0.375545	0.376115	0.376265	0.011255947630049	0.000719999999999998	0.00170500000000001	5.55695485405118e-06	211	0	216
0.37797	0.37819	0.378315	0.00976058630192403	0.000344999999999984	0.00147999999999998	2.40698889707966e-06	212	0	217
0.379795	0.38003	0.38016	0.00939437536442403	0.000365000000000004	0.00121500000000002	2.50759613093065e-06	213	0	218
0.381375	0.381585	0.38173	0.00960799841129903	0.000354999999999994	0.00148500000000001	2.44523807064578e-06	214	0	219
0.383215	0.38345	0.383575	0.00933334020817403	0.000359999999999971	0.00103500000000001	2.37731126582728e-06	215	0	220
0.38461	0.38483	0.384955	0.00963851598942403	0.000344999999999984	0.00142000000000003	2.40042761778279e-06	216	0	221
0.386375	0.386615	0.386745	0.00951644567692403	0.000369999999999981	0.00112499999999999	2.51794691400277e-06	217	0	222
0.38787	0.388075	0.38821	0.00957748083317403	0.000340000000000007	0.00148999999999999	2.29303093627317e-06	218	0	223
0.3897	0.389915	0.39007	0.00979110388004903	0.000370000000000037	0.00118499999999999	2.56311292962776e-06	219	0	224
0.391255	0.391465	0.39159	0.00939437536442403	0.000334999999999974	0.00152000000000002	2.25902903015417e-06	220	0	225
0.39311	0.39335	0.393465	0.00945541052067403	0.000354999999999994	0.00103999999999999	2.40571780697391e-06	221	0	226
0.394505	0.39469	0.39485	0.00954696325504903	0.00034500000000004	0.00136999999999998	2.35983923887654e-06	222	0	227
0.39622	0.396455	0.39659	0.00957748083317403	0.000369999999999981	0.001135	2.53946180658089e-06	223	0	228
0.397725	0.39795	0.398075	0.00969955114567403	0.000350000000000017	0.00135999999999997	2.39902913327679e-06	224	0	229
0.399435	0.39968	0.399815	0.00948592809879903	0.000380000000000047	0.001135	2.59800516960013e-06	225	0	230
0.40095	0.401205	0.40135	0.010096279661299	0.000399999999999956	0.00129500000000005	2.95602817493548e-06	226	0	231
0.402645	0.4029	0.40301	0.00942489294254903	0.000365000000000004	0.00144499999999997	2.52331268366502e-06	227	0	232
0.404455	0.40468	0.40481	0.00988265661442403	0.000354999999999994	0.00120500000000001	2.48094363705203e-06	228	0	233
0.406015	0.40623	0.40639	0.00960799841129903	0.000375000000000014	0.00105499999999997	2.59589413262176e-06	229	0	234
0.407445	0.40764	0.407765	0.00905868200504903	0.000319999999999987	0.00253000000000003	2.10041320437531e-06	230	0	235
0.410295	0.410495	0.41124	0.00847884802067403	0.000944999999999974	-0.000944999999999974	7.31210776807785e-06	231	0	236
0.410295	0.41107	0.41124	0.011133877317549	0.000944999999999974	0.00173000000000001	7.31210776807785e-06	231	0	237
0.41297	0.41318	0.41331	0.00973006872379903	0.000340000000000007	0.00153999999999999	2.33453484252317e-06	232	0	238
0.41485	0.415085	0.415215	0.00957748083317403	0.000365000000000004	0.00134499999999999	2.46685516413377e-06	233	0	239
